ts	phase	decision	why	evidence	result
2026-09-01T12:54:04Z	Phase 2	Completed the comment review without code changes.	The cleanup should not add narrative comments or hide diagnostics with suppressions.	current uncommitted diff	no added code comments or TypeScript or lint suppressions found
2026-09-01T14:16:22Z	Phase 3	Standardized on npm workspaces, one root lockfile, and Node 22 metadata.	One package graph and runtime contract make installs and CI reproducible.	package.json, package-lock.json, backend/package.json, frontend/package.json	two workspaces; one lockfile; Node 22.x required
2026-09-01T14:16:22Z	Phase 3	Added strict typechecks, Prettier, zero-warning ESLint, and CI.	Publication needs one repeatable quality gate for local and hosted checks.	backend/tsconfig.json, frontend/tsconfig.json, eslint.config.mjs, .prettierignore, .github/workflows/ci.yml	format, lint, and both typechecks passed
2026-09-01T14:16:22Z	Phase 3	Verified tests, builds, publication policy, and the production dependency audit.	The tooling phase must finish with direct evidence from the complete CI command.	npm run ci	38 security, 2 compatibility, and 1 Vitest test passed; both builds passed; publication passed; 0 vulnerabilities
2026-09-01T14:16:22Z	Phase 3	Accepted formatting churn and recorded local environment limits.	Deterministic formatting costs review noise; unavailable Docker and PostgreSQL prevent local DB-backed tests.	docs/decisions/phase-3-tooling.md	Node 26 mismatch, localStorage warning, 2.4 MB chunk, and DB runtime gap recorded
2026-09-01T16:22:33Z	Phase 4	Cut browser authentication over to Better Auth 1.7.2 cookies and one typed backend auth context.	One session authority removes bearer and browser-storage token paths.	backend/src/auth/auth.ts, backend/src/middleware/auth.ts, frontend/src/client/lib/authClient.ts, scripts/migrate-backend-auth-locals.mjs	204 caller accesses migrated; no legacy auth locals remain
2026-09-01T16:22:33Z	Phase 4	Replaced the migration chain with one generated baseline for the modular 67-table schema.	A current schema baseline gives new deployments one reproducible starting point.	backend/src/db/schema, backend/drizzle/0000_prism_baseline.sql, backend/src/scripts/verifyDatabase.ts	Drizzle drift check and PGlite application passed with 67 tables
2026-09-01T16:22:33Z	Phase 4	Moved approval policy, system workflows, and the AI catalog into database-backed configuration and seeds.	Runtime policy and catalog data must not depend on customer-specific or process-local constants.	backend/src/lib/approvalMatrix.ts, backend/src/scripts/seedApprovalPolicies.ts, backend/src/scripts/seedWorkflows.ts, backend/src/scripts/seedAiCatalog.ts	dry-runs validated 5 roles, 5 rules, 3 workflows, and 8 AI models
2026-09-01T16:22:33Z	Phase 4	Verified the complete repository gate and production dependency audit.	The checkpoint needs one command that proves the recorded source state.	npm run ci	45 security, 2 compatibility, and 24 unit tests passed; both builds passed; 0 vulnerabilities
2026-09-01T16:22:33Z	Phase 4	Recorded live browser verification as blocked.	This machine cannot exercise external authentication and delivery without the required services and credentials.	local runtime prerequisite check	no PostgreSQL runtime or Docker daemon; DATABASE_URL, Google OAuth, Resend, sender, fallback, and backend secrets unset
2026-09-01T18:39:23Z	Phase 5	Centralized immutable configuration and separated application construction from process startup.	One validated configuration object and explicit lifecycle ownership make startup and shutdown deterministic.	backend/src/config.ts, backend/src/app.ts, backend/src/index.ts, backend/src/worker.ts, backend/src/lifecycle.ts, backend/src/httpLifecycle.ts	deep-frozen AppConfig; dependency-injected application; reverse-order graceful shutdown
2026-09-01T18:39:23Z	Phase 5	Added explicit object storage, mail, and document conversion provider contracts.	Production integrations need bounded behavior, typed failures, health reporting, and deterministic cleanup.	backend/src/storage, backend/src/mail, backend/src/lib/documentConverter.ts	local, S3, disabled, console, SMTP, Resend, LibreOffice, and Chromium paths covered
2026-09-01T18:39:23Z	Phase 5	Moved scheduled health work, RAG indexing, and non-authentication email to PostgreSQL jobs and the outbox.	Request handlers must persist background work before returning, while OTP retains its synchronous delivery result.	backend/src/jobs, backend/src/worker.ts, backend/src/lib/rag.ts, backend/src/lib/documentPermissions.ts, backend/src/lib/governance.ts, backend/src/lib/sharing.ts	leased claims, retries, stale recovery, idempotency, and graceful worker drain implemented
2026-09-01T18:39:23Z	Phase 5	Verified the complete Phase 5 repository gate.	The checkpoint needs one reproducible command that covers policy, schema, quality, tests, audit, and builds.	npm run ci completed 2026-09-01T18:07:47Z	45 security, 2 compatibility, and 144 unit tests passed; 191 total; 67-table database verification passed; publication passed; 0 vulnerabilities
2026-09-01T18:39:23Z	Phase 5	Recorded external integration and recording-time verification limits.	Local contract tests do not prove live provider behavior, and later shared-tree edits no longer match the Phase 5 checkpoint.	docs/decisions/phase-5-providers.md	131 focused Phase 5 tests and publication recheck passed; Node 26 used instead of 22; provider services unavailable; later rerun exposed non-Phase-5 drift
2026-09-01T20:21:50Z	Phase 6	Replaced native AI adapters with one AI SDK registry for Anthropic, Google, OpenAI, and OpenAI-compatible providers.	One typed registry gives every model the same resolution, capability, task, timeout, and tool behavior.	backend/src/lib/llm/providerRegistry.ts, backend/src/lib/llm/index.ts, backend/package.json	AI SDK 7.0.89; four provider types; native provider adapters removed
2026-09-01T20:21:50Z	Phase 6	Stored versioned, AAD-bound provider credentials and pinned validated custom endpoints to resolved addresses.	Personal credentials and custom endpoints must resist cross-user reuse, key rotation failures, SSRF, redirects, and DNS rebinding.	backend/src/lib/llm/credentials.ts, backend/src/lib/llm/safeProviderFetch.ts, backend/test/unit/ai-registry.test.ts	AES-256-GCM keyring and custom endpoint security tests passed
2026-09-01T20:21:50Z	Phase 6	Moved model records, explicit capabilities, stable reconciliation, and task preferences into the database-backed AI registry.	Stable model ids preserve preferences and unchanged credentials while capability checks reject unsupported requests before provider calls.	backend/src/lib/aiRegistry.ts, backend/src/db/schema/ai.ts, backend/src/scripts/seedAiCatalog.ts, backend/test/unit/ai-connection-lifecycle.test.ts	8 managed models validated; stale managed models disabled; custom model identity preserved
2026-09-01T20:21:50Z	Phase 6	Centralized Luna's identity and added authenticated provider, model, preference, and settings flows.	Product identity belongs outside provider adapters, and users need safe connection management without secret disclosure.	backend/src/lib/prompts/luna.ts, backend/src/routes/user.ts, frontend/src/client/features/aiSettings, frontend/src/client/components/pages/SettingsPage.tsx	server connections read-only; personal connection lifecycle and task preferences covered
2026-09-01T20:21:50Z	Phase 6	Verified the complete Phase 6 repository gate and recorded live integration limits.	The checkpoint needs reproducible local evidence without claiming unrun PostgreSQL or provider checks.	npm run ci, docs/decisions/phase-6-ai-registry.md	276 tests passed; 66-table database verification passed; all seeds and builds passed; publication passed; 0 vulnerabilities; live PostgreSQL and providers not tested
2026-09-01T21:26:17Z	Phase 7	Consolidated 23 tools into one Zod registry with split domain executors.	One definition per tool keeps schema, scope, authorization, execution, and lifecycle ownership aligned.	backend/src/modules/ai/tools/registry.ts, backend/src/modules/ai/tools/*Executors.ts	23 unique tools; authorization precedes execution; one start and one terminal result per invocation
2026-09-01T21:26:17Z	Phase 7	Defined one shared 45-variant stream protocol with one encoder and one parser.	Backend and frontend stream behavior must share validation, family, and terminal semantics.	packages/protocol/src/index.ts, backend/src/lib/sseHelpers.ts, frontend/src/client/lib/sseTransport.ts	error and success are mutually exclusive; malformed and unterminated streams fail
2026-09-01T21:26:17Z	Phase 7	Migrated all six stream clients and propagated cancellation through backend work.	Disconnects must stop fetches, orchestration, tools, and provider generation instead of leaving work running.	frontend/src/client/store/api, frontend/src/client/features/projects/projectsApi.ts, backend/src/lib/sseHelpers.ts, backend/src/lib/chatOrchestrator.ts	six clients use streamSSE; request and response closure aborts the shared signal
2026-09-01T21:26:17Z	Phase 7	Deleted the chatTools compatibility layer and recorded remaining runtime file sizes.	Completed migrations must remove duplicate APIs while keeping oversized coordinators visible for later phases.	backend/src/lib/chatTools.ts, docs/decisions/phase-7-tools-streaming.md	no backend chatTools references; chatRuntime 2,039 lines; chatOrchestrator 1,042 lines
2026-09-01T21:26:17Z	Phase 7	Verified the complete Phase 7 repository gate.	The checkpoint needs reproducible evidence for protocol, tools, schema, seeds, quality, audit, and builds.	npm run ci, docs/decisions/phase-7-tools-streaming.md	309 tests passed; 66-table database verification passed; all seeds and builds passed; publication passed; 0 vulnerabilities
2026-09-02T03:32:41Z	Phase 8	Moved compliance and tabular generation into durable, reconnectable jobs.	Cost-bearing work must survive disconnects and reject duplicate or stale execution.	backend/src/modules/compliance, backend/src/modules/tabular, backend/src/jobs	idempotent runs, persisted events, cancellation, bounded concurrency, budgets, retries, and tabular epoch fencing verified
2026-09-02T03:32:41Z	Phase 8	Decomposed documents, drive, projects, workflows, templates, users, downloads, and chat into owned modules.	Thin transports and explicit service and repository boundaries replace route and coordinator god files.	backend/src/modules, backend/src/productionDependencies.ts	no route or controller infrastructure imports; no compatibility route shells; largest executable runtime file is 687 lines
2026-09-02T03:32:41Z	Phase 8	Centralized access decisions and replaced project and tabular JSON sharing with relational grants.	One typed authority and normalized membership data prevent policy drift and ignored sharing payloads.	backend/src/modules/access, backend/src/modules/sharing, backend/src/db/schema	sharing and access matrix tests passed; legacy sharedWith fields absent
2026-09-02T03:32:41Z	Phase 8	Added durable object-store reconciliation and one bounded content and DOCX decoder.	Crash recovery and document parsing need one retry-safe, reference-safe implementation.	backend/src/modules/drive/drive.reconciliation.ts, backend/src/modules/content/documentContent.ts, backend/src/jobs/handlers.ts	repeated fenced cleanup and single decoder imports verified
2026-09-02T03:32:41Z	Phase 8	Verified the complete Phase 8 repository gate and recorded live database limits.	The checkpoint must distinguish deterministic PGlite coverage from unavailable live PostgreSQL and Docker execution.	npm run ci, docs/decisions/phase-8-backend-slices.md	603 tests passed; 73 tables; all seeds, typechecks, builds, audit, and publication passed; PostgreSQL and Docker daemon unavailable
2026-09-02T19:08:49Z	Phase 9	Established one 28-entry route manifest with explicit public, onboarding, and protected Better Auth gates.	Canonical routes and session states prevent link drift, orphan aliases, and ambiguous access behavior.	frontend/src/client/routeManifest.ts, frontend/src/client/App.tsx, frontend/src/client/hooks/useAuth.ts	generated-link and route-boundary tests passed; legacy project and document aliases absent
2026-09-02T19:08:49Z	Phase 9	Consolidated credentialed HTTP and validated SSE handling, including durable run recovery and cancellation.	One transport contract keeps authentication, terminal events, reconnect cursors, and cancellation consistent.	frontend/src/client/lib/apiTransport.ts, frontend/src/client/lib/sseTransport.ts, frontend/src/client/store/api/complianceApi.ts, frontend/src/client/store/api/tabularReviewApi.ts	raw transport scan passed; compliance and tabular reconnect/cancel journeys passed
2026-09-02T19:08:49Z	Phase 9	Decomposed route features and the document editor while recording the actual production-module maximum.	Feature ownership and explicit size evidence replace compatibility facades and oversized page components.	frontend/src/client/features, frontend/src/client/hooks/useChat.ts, frontend/src/client/features/documentEditor/DocumentEditorWorkspace.tsx	useChat is 723 lines; every other production file is at most 673; editor shell is 436 lines
2026-09-02T19:08:49Z	Phase 9	Applied one DOMPurify boundary and shared dialog, tab, button, and menu-focus primitives.	Untrusted document HTML and keyboard interaction need centralized, testable safety contracts.	frontend/src/client/lib/sanitizeHtml.ts, frontend/src/client/components/ui, frontend/src/client/hooks/useMenuFocus.ts, frontend/src/client/hooks/useDialogFocus.ts	sanitizer and accessibility unit coverage passed
2026-09-02T19:08:49Z	Phase 9	Expanded mocked Chromium coverage and reduced the Vite entry artifact from the earliest successful baseline.	Deterministic journeys, accessibility checkpoints, screenshots, video, and bundle evidence make frontend behavior reviewable.	e2e, playwright.config.ts, docs/decisions/phase-1-security.md	16 no-retry journeys; 22 axe checkpoints; 364.91 kB entry versus 2,378.34 kB baseline
2026-09-02T19:08:49Z	Phase 9	Verified the complete Phase 9 repository gate and recorded the mocked-browser boundary.	The checkpoint must separate deterministic frontend proof from live infrastructure and provider integration.	npm run ci, docs/decisions/phase-9-frontend.md	928 unit, 42 security, 2 document-format, and 16 browser tests passed; builds and publication passed; 0 vulnerabilities; live services not exercised
2026-09-03T10:12:18Z	Phase 10	Removed all 57 unproven bundled DOCX files while retaining explicit operator imports and a machine-checked provenance policy.	Public source cannot redistribute files without documented rights.	backend/src/scripts/seedDocxTemplates.ts, docs/template-provenance.json, scripts/check-publication.mjs	0 tracked-and-present DOCX files remain; publication and documentation checks passed
2026-09-03T10:12:18Z	Phase 10	Added Knip to the canonical quality gate and retained mocked browser screenshots.	Unused code needs a repeatable gate, and browser evidence must remain inspectable.	package.json, knip.json, playwright.config.ts, e2e/durable-runs.spec.ts, e2e/artifacts/screenshots	check:orphans passed; three PNG screenshots retained; durable-run videos generated but untracked
2026-09-03T10:12:18Z	Phase 10	Closed the designated-approver and cross-document change-request authorization bypasses.	Approval mutations must bind the authenticated identity and the authorized resource before data changes.	backend/test/unit/approvals-drive-ports.test.ts, backend/test/unit/documents-changes-access.test.ts	exploit regressions passed; final Security Review found no medium-or-higher issue; final Bugbot found no bug
2026-09-03T10:12:18Z	Phase 10	Verified the current source tree with the canonical local gate.	Publication claims need results from the documented tree, not prior phase counts.	npm run ci	44 security, 2 document-format, 1158 unit, and 16 mocked browser tests passed; 1220 total; 73 tables; 0 vulnerabilities
2026-09-03T10:12:18Z	Phase 10	Confirmed the publication contract, documentation, environment examples, migration path, AI registry, and module boundaries.	Public maintainers need a licensed, navigable, configurable source distribution.	LICENSE, README.md, ARCHITECTURE.md, CONTRIBUTING.md, docs, .env.example, backend/.env.example	AGPL and repository checks passed; source tree is publication-ready
2026-09-03T10:12:18Z	Phase 10	Kept production deployment certification open.	This machine cannot prove services and credentials that are absent.	.github/workflows/ci.yml, compose.yaml, render.yaml, docs/deployment.md	Compose config passed; live PostgreSQL, Docker smoke, Render validation and deploy, and external auth, mail, storage, AI, RAG, and converter checks remain release-environment gates
